cell_line,replicate,dna_count,rna_count,rna_dna_ratio,log2,n_obs_bc,sequence_name
HepG2,1,0.15596277663998,0.267327619886993,1.71404758010999,0.777407157662772,63,skilled_freaky_sunbear
HepG2,1,0.240013827435475,0.796087864262379,3.31684167020085,1.72981014656433,77,zippered_grownup_eyra
HepG2,1,0.149031097678203,0.132283460787453,0.887623206487331,-0.171980708282443,127,flimsy_novel_lice
HepG2,1,0.244274110431625,0.293641068264139,1.20209656170801,0.265552789145561,105,binding_lucid_gemsbok
HepG2,1,0.111493672189427,0.241110723835093,2.1625507448122,1.1127339863586,125,separate_resident_pygmy
HepG2,1,0.0929189840527944,0.0823356524785313,0.886101514322951,-0.17445610737019,66,hoggish_hennish_langur
HepG2,1,0.221813726776861,0.627666915004636,2.82970276062335,1.50065051655668,35,main_kilted_saiga
HepG2,1,0.126493773918696,0.133707334466435,1.05702700081013,0.0800122295468547,73,teen_probable_anole
HepG2,1,0.211887815715613,0.456233759411032,2.15318543857835,1.10647257393932,72,decisive_shapely_rhea
HepG2,1,0.232904413115704,0.272082155868919,1.16821382742006,0.224304366276427,95,catching_suffixal_hoiho
HepG2,1,0.188295208063913,0.130223161861952,0.691590419113325,-0.53201021201682,29,friendly_undyed_mole
HepG2,1,0.130478662809918,0.0658237087744423,0.504478719791408,-0.98713468085586,84,sylphic_jazzy_redhead
HepG2,1,0.19912438373251,0.103852834213433,0.521547548656531,-0.939129307945027,130,heroic_voltaic_antbear
HepG2,1,0.232308139656626,0.117684248238026,0.50658684801994,-0.981118472520552,92,nickelic_binding_owl
HepG2,1,0.15626876967523,0.090995269289657,0.582299774156862,-0.78016603565926,73,unlovely_snotty_antlion
HepG2,1,0.146755546503883,0.0944400500026721,0.643519459758024,-0.635944319290005,65,expected_sphene_oriole
HepG2,1,0.192238563206613,0.0957640606902455,0.498152187016301,-1.00534153750917,81,uncheery_knotty_liger
HepG2,1,0.149382832555457,0.295287261214032,1.97671483504913,0.983104759921867,156,stony_dentine_gorilla
HepG2,1,0.179149555004915,0.146574012485526,0.818165652052582,-0.289535123114301,147,banal_charming_duck
HepG2,1,0.249022877261489,0.182574181705953,0.733162284982513,-0.447795521595723,49,charming_queasy_hydra
HepG2,1,0.147506128306612,0.448337405882764,3.0394493505438,1.60380997788042,39,grouchy_diagonal_bear
HepG2,1,0.231931545892998,0.562342945067714,2.4246074112193,1.27775116720133,37,nearby_ashy_esok
HepG2,1,0.269159931615196,0.131480275167417,0.48848383330468,-1.03361727884952,113,trusting_lazuline_mammal
HepG2,1,0.316454250201655,0.331556459012006,1.04772319790531,0.0672576159627685,89,aromatic_halite_roan
HepG2,1,0.0868770429876038,0.289362082340864,3.33070823303865,1.73582898079573,47,dacite_fatherly_grouse
HepG2,1,0.113048989721789,0.114487277042021,1.01272269061202,0.018239181395779,106,baleful_bared_basenji
HepG2,1,0.241587818698829,0.217317605631492,0.899538754900582,-0.152742656325065,85,windowy_real_joey
HepG2,1,0.144178922404959,0.649479839939636,4.50467952670241,2.17142447303483,71,boarish_quixotic_redpoll
HepG2,1,0.145549681390659,0.0886732161964397,0.609229888717094,-0.714941372946966,88,reserved_kneedeep_duiker
HepG2,1,0.189853469370302,0.209061053540332,1.10117057240901,0.139037961098723,123,inhumane_cold_hake
HepG2,1,0.115612003047333,0.0720570145295978,0.623265860207409,-0.682080404532893,87,aurous_lambskin_manatee
HepG2,1,0.27324406636777,0.131503067310344,0.481265957787896,-1.05509371660333,135,kneedeep_crazy_halcyon
HepG2,1,0.2583830168671,0.287974824530387,1.11452690669104,0.15643144628017,147,allied_antique_cooter
HepG2,1,0.186828472309616,0.303811482539804,1.62615193917724,0.701462061629832,40,carroty_purply_fox
HepG2,1,0.134052643573842,0.19588954979671,1.46128822658246,0.547240765444424,45,hasty_prime_whelp
HepG2,1,0.266017465876479,0.555279668143727,2.08738048952606,1.06169360017172,92,frigid_giddying_sambar
HepG2,1,0.216290654061935,0.609526708454776,2.81809082828071,1.49471811107922,82,denim_illegal_tenrec
HepG2,1,0.246907804957677,1.15633289570201,-4.68325776862427,2.22751244680945,65,wired_cork_doe
HepG2,1,0.0765420113783465,0.054696938186067,0.714600220207181,-0.484791736391328,158,gemstone_whitish_moose
HepG2,1,0.182698187861371,0.122222743909986,0.668987171360051,-0.579949549181597,61,bleached_liquid_rhea
HepG2,1,0.19257464461082,0.188508288784861,0.978884261559061,-0.0307898021120789,43,trendy_calx_sphinx
HepG2,1,0.186652143421121,0.60487240844756,3.24064003424197,1.69627877701008,44,agrarian_mopey_pig
HepG2,1,0.122431263718178,0.0679978330375989,0.555395990962911,-0.848411331556317,178,comfy_exciting_sponge
HepG2,1,0.245299886082646,0.141628205470824,0.577367595772575,-0.792437954978984,118,mucky_abasic_redhead
HepG2,1,0.0922463435167262,0.0768905603958763,0.833535048269252,-0.262685232326929,83,lilac_premium_fantail
HepG2,1,0.13422574235728,0.395904587570257,2.94954291641349,1.56049140080797,38,peppery_docile_prawn
