sequence_name,cv_specificity,fc_specificity,most_active_cell_line,max_activity,entropy_specificity,mean_activity_all_cells,cv_specificity_norm,fc_specificity_norm,entropy_specificity_norm,composite_specificity_score
gemstone_whitish_moose,1.4281947051656627,15.100664773666693,K562,9.918151983772455,0.597787114855234,3.7439188890222312,1.0,0.9999999999999999,0.597787114855234,0.8793361344565701
mucky_abasic_redhead,1.4043261659476618,13.852781472831358,WTC11,7.85818816861059,0.5756287893300505,2.99757224577828,0.9823547263426824,0.9109524439856211,0.5756287893300505,0.8317760322960683
boarish_quixotic_redpoll,1.2991666403987192,9.975365630816466,HepG2,4.533271005092353,0.48723771068973676,1.814054735726562,0.9046135378670437,0.6342643881780521,0.48723771068973676,0.671261129838255
trusting_lazuline_mammal,1.2933632076067658,9.843670016648504,WTC11,4.892289287211,0.48025749612035606,1.9620954327574214,0.9003232392932358,0.6248667365133336,0.48025749612035606,0.664120915229411
baggy_balanced_cavy,1.2842325155930097,9.587847505261067,HepG2,3.61086192983249,0.4742157192781603,1.454692772369463,0.8935732007679662,0.6066115283562385,0.4742157192781603,0.6529812873563334
grouchy_diagonal_bear,1.2474339773903658,8.70362544688319,HepG2,3.3438844254919933,0.4459926974296744,1.370757762442916,0.8663691783163027,0.5435144316807353,0.4459926974296744,0.6111143353960872
kneedeep_crazy_halcyon,1.2339048657361895,8.388585045132471,K562,3.20845485728861,0.43797009158700495,1.324470732909908,0.8563675240341542,0.5210335011298493,0.43797009158700495,0.5967146851382874
flimsy_novel_lice,1.215679752469372,8.062302083776258,WTC11,6.525513791490887,0.4207430117483951,2.714761877336923,0.8428942608364604,0.4977503141055053,0.4207430117483951,0.5781913074176588
zippered_grownup_eyra,1.2020684966934758,7.790394140214463,HepG2,3.573713942983377,0.4120840063712434,1.4970602435280629,0.832831879942857,0.4783472675074256,0.4120840063712434,0.5648136728972004
normal_scarred_seabird,1.1988061015073719,7.698876153380961,HepG2,2.975906057398237,0.41262780697117696,1.2496605010817738,0.8304200919691,0.47181664637208054,0.41262780697117696,0.5616410282309152
slippery_crumbly_bats,1.194814965281696,7.644497208232981,K562,3.946735146896527,0.40812073920242153,1.6597680252440938,0.8274695682582659,0.46793622569426074,0.40812073920242153,0.5578515825159105
heroic_voltaic_antbear,1.1942366722949136,7.661071929547852,WTC11,3.7862906821307702,0.4052568547186418,1.5915800017992634,0.827042054118725,0.4691189792608167,0.4052568547186418,0.5573372643555368
agrarian_mopey_pig,1.184846483849891,7.4936183666053235,HepG2,3.26382758946942,0.3987442358525273,1.3783076049039484,0.820100177898615,0.4571696803833091,0.3987442358525273,0.5485211962786664
depleted_rhyolite_nandu,1.178434889390326,7.184152698248318,HepG2,3.1587909626065134,0.4133843739570512,1.3460561396242128,0.8153602841922819,0.43508655656948714,0.4133843739570512,0.5426580200725948
charming_queasy_hydra,1.0956221509215112,6.0508570767505905,K562,3.2446407348067297,0.3493583417391748,1.4390324373331043,0.7541393850309254,0.3542158491334513,0.3493583417391748,0.4727356576844105
binding_lucid_gemsbok,1.0945194092249186,6.036717021677357,WTC11,5.36681247705915,0.3486563301973312,2.3816230484025125,0.7533241621623623,0.353206830625601,0.3486563301973312,0.4718768799581484
sylphic_jazzy_redhead,1.0933510944701899,6.128884691881645,WTC11,3.2181192935452767,0.3378489212928294,1.4227559051432033,0.7524604631577109,0.35978381243931473,0.3378489212928294,0.47100634031088795
